species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,51.3,18.2,197,3750,male
Chinstrap,Dream,45.6,19.4,194,3525,female
Adelie,Biscoe,35,17.9,192,3725,female
Adelie,Biscoe,38.1,16.5,198,3825,female
Adelie,Dream,36.8,18.5,193,3500,female
Adelie,Dream,40.3,18.5,196,4350,male
Adelie,Biscoe,37.7,16,183,3075,female
Gentoo,Biscoe,46.2,14.9,221,5300,male
Adelie,Dream,38.9,18.8,190,3600,female
Chinstrap,Dream,49.8,17.3,198,3675,female
Adelie,Torgersen,36.2,16.1,187,3550,female
Gentoo,Biscoe,48.8,16.2,222,6000,male
Gentoo,Biscoe,42.8,14.2,209,4700,female
Adelie,Biscoe,41.3,21.1,195,4400,male
Adelie,Dream,36,17.8,195,3450,female
Adelie,Dream,39.8,19.1,184,4650,male
Gentoo,Biscoe,50.4,15.3,224,5550,male
Gentoo,Biscoe,45.3,13.7,210,4300,female
Adelie,Dream,34,17.1,185,3400,female
Adelie,Torgersen,37.7,19.8,198,3500,male
Adelie,Biscoe,41.6,18,192,3950,male
Gentoo,Biscoe,46.5,14.5,213,4400,female
Chinstrap,Dream,49.5,19,200,3800,male
Adelie,Biscoe,38.2,20,190,3900,male
Adelie,Torgersen,38.5,17.9,190,3325,female
Adelie,Dream,36.5,18,182,3150,female
Adelie,Biscoe,39.6,20.7,191,3900,female
Gentoo,Biscoe,48.6,16,230,5800,male
Chinstrap,Dream,48.5,17.5,191,3400,male
Chinstrap,Dream,43.2,16.6,187,2900,female
Gentoo,Biscoe,46.8,16.1,215,5500,male
Adelie,Torgersen,38.6,17,188,2900,female
Chinstrap,Dream,49.3,19.9,203,4050,male
Gentoo,Biscoe,50,15.3,220,5550,male
Chinstrap,Dream,46.4,17.8,191,3700,female
Chinstrap,Dream,52.2,18.8,197,3450,male
Chinstrap,Dream,40.9,16.6,187,3200,female
Chinstrap,Dream,42.5,16.7,187,3350,female
Gentoo,Biscoe,43.5,14.2,220,4700,female
Gentoo,Biscoe,46.4,15.6,221,5000,male
Adelie,Dream,36,17.9,190,3450,female
Adelie,Dream,41.1,17.5,190,3900,male
Chinstrap,Dream,45.2,17.8,198,3950,female
Adelie,Dream,37.3,16.8,192,3000,female
Adelie,Torgersen,40.2,17,176,3450,female
Gentoo,Biscoe,49.8,15.9,229,5950,male
Gentoo,Biscoe,52.5,15.6,221,5450,male
Adelie,Dream,40.8,18.9,208,4300,male
Adelie,Biscoe,37.7,18.7,180,3600,male
Chinstrap,Dream,45.9,17.1,190,3575,female
Gentoo,Biscoe,45,15.4,220,5050,male
Chinstrap,Dream,50.9,19.1,196,3550,male
Adelie,Biscoe,39,17.5,186,3550,female
Gentoo,Biscoe,50.8,15.7,226,5200,male
Gentoo,Biscoe,46.1,13.2,211,4500,female
Chinstrap,Dream,50.5,19.6,201,4050,male
Adelie,Torgersen,36.7,18.8,187,3800,female
Gentoo,Biscoe,45.5,14.5,212,4750,female
Chinstrap,Dream,47,17.3,185,3700,female
Gentoo,Biscoe,49.8,16.8,230,5700,male
Gentoo,Biscoe,45.7,13.9,214,4400,female
Gentoo,Biscoe,49.9,16.1,213,5400,male
Gentoo,Biscoe,42,13.5,210,4150,female
Adelie,Torgersen,33.5,19,190,3600,female
Adelie,Biscoe,35.7,16.9,185,3150,female
Gentoo,Biscoe,48.7,14.1,210,4450,female
Adelie,Biscoe,37.6,19.1,194,3750,male
Adelie,Dream,39.2,21.1,196,4150,male
Adelie,Torgersen,34.4,18.4,184,3325,female
Adelie,Dream,35.6,17.5,191,3175,female
Adelie,Torgersen,40.6,19,199,4000,male
Gentoo,Biscoe,46.5,13.5,210,4550,female
Adelie,Biscoe,42.7,18.3,196,4075,male
Chinstrap,Dream,50.6,19.4,193,3800,male
Adelie,Biscoe,41,20,203,4725,male
